fileID,adl_code,adl_name,subject,session,original_samples,trimmed_samples,percent_removed,start_idx,end_idx
70,1,drink water,0,1,1131,1016,10.167992926613616,72,1087
71,1,drink water,0,2,1260,1122,10.952380952380953,88,1209
72,1,drink water,0,3,1674,1564,6.571087216248507,40,1603
73,1,drink water,0,4,1155,1054,8.744588744588745,32,1085
74,1,drink water,0,5,1218,1062,12.807881773399014,82,1143
75,1,drink water,1125,1,546,236,56.776556776556774,42,277
76,1,drink water,1125,2,408,232,43.13725490196079,48,279
77,1,drink water,1125,3,447,292,34.675615212527966,50,341
78,1,drink water,1125,4,473,200,57.71670190274841,90,289
79,1,drink water,1125,5,480,404,15.833333333333334,14,417
80,1,drink water,1279,1,465,340,26.881720430107528,124,463
81,1,drink water,1279,2,623,622,0.16051364365971107,0,621
82,1,drink water,1279,3,603,534,11.442786069651742,16,549
83,1,drink water,1279,4,464,432,6.896551724137931,16,447
84,1,drink water,1279,5,454,454,0.0,0,453
85,1,drink water,1313,1,1165,1058,9.184549356223176,100,1157
86,1,drink water,1313,2,799,452,43.42928660826033,106,557
87,1,drink water,1313,3,619,488,21.163166397415186,78,565
88,1,drink water,1313,4,605,440,27.272727272727273,60,499
89,1,drink water,1313,5,665,420,36.8421052631579,86,505
90,1,drink water,1324,1,443,368,16.93002257336343,8,375
91,1,drink water,1324,2,407,407,0.0,0,406
92,1,drink water,1324,3,352,284,19.318181818181817,12,295
93,1,drink water,1324,4,391,252,35.549872122762146,34,285
94,1,drink water,1324,5,399,320,19.79949874686717,18,337
95,1,drink water,1358,1,381,334,12.335958005249344,38,371
96,1,drink water,1358,2,334,246,26.347305389221557,44,289
97,1,drink water,1358,3,446,332,25.56053811659193,100,431
98,1,drink water,1358,4,399,246,38.34586466165413,92,337
99,1,drink water,1358,5,366,312,14.754098360655737,28,339
100,1,drink water,1390,1,684,512,25.146198830409357,30,541
101,1,drink water,1390,2,948,702,25.949367088607595,60,761
102,1,drink water,1390,3,1532,976,36.29242819843342,118,1093
103,1,drink water,1390,4,1440,1398,2.9166666666666665,2,1399
104,1,drink water,1390,5,1325,1110,16.22641509433962,70,1179
105,1,drink water,1396,1,316,206,34.81012658227848,10,215
106,1,drink water,1396,2,195,132,32.30769230769231,34,165
107,1,drink water,1396,3,192,136,29.166666666666668,14,149
108,1,drink water,1396,4,212,138,34.905660377358494,8,145
109,1,drink water,1396,5,228,162,28.94736842105263,0,161
110,1,drink water,1405,1,1520,708,53.421052631578945,438,1145
111,1,drink water,1405,2,1691,984,41.809580130100535,402,1385
112,1,drink water,1405,3,1407,772,45.13148542999289,340,1111
113,1,drink water,1405,4,1568,920,41.326530612244895,350,1269
114,1,drink water,1405,5,1464,750,48.77049180327869,348,1097
115,1,drink water,1435,1,373,304,18.498659517426272,10,313
116,1,drink water,1435,2,357,240,32.773109243697476,106,345
117,1,drink water,1435,3,365,314,13.972602739726028,38,351
118,1,drink water,1435,4,310,310,0.0,0,309
119,1,drink water,1435,5,420,326,22.38095238095238,94,419
120,1,drink water,1453,1,373,304,18.498659517426272,10,313
121,1,drink water,1453,2,357,240,32.773109243697476,106,345
122,1,drink water,1453,3,365,314,13.972602739726028,38,351
123,1,drink water,1453,4,310,310,0.0,0,309
124,1,drink water,1453,5,420,326,22.38095238095238,94,419
125,1,drink water,1505,1,440,312,29.09090909090909,56,367
126,1,drink water,1505,2,406,382,5.911330049261084,22,403
127,1,drink water,1505,3,401,312,22.194513715710723,26,337
128,1,drink water,1505,4,365,234,35.89041095890411,50,283
129,1,drink water,1505,5,386,198,48.704663212435236,66,263
130,1,drink water,1570,1,715,504,29.51048951048951,96,599
131,1,drink water,1570,2,550,442,19.636363636363637,50,491
132,1,drink water,1570,3,512,322,37.109375,52,373
133,1,drink water,1570,4,472,414,12.288135593220339,16,429
134,1,drink water,1570,5,431,392,9.048723897911833,12,403
135,1,drink water,1697,1,637,490,23.076923076923077,72,561
136,1,drink water,1697,2,710,612,13.80281690140845,0,611
137,1,drink water,1697,3,621,488,21.4170692431562,6,493
138,1,drink water,1697,4,665,472,29.022556390977442,84,555
139,1,drink water,1697,5,670,504,24.776119402985074,104,607
140,1,drink water,1735,1,381,324,14.960629921259843,32,355
141,1,drink water,1735,2,996,930,6.626506024096385,66,995
142,1,drink water,1735,3,423,423,0.0,0,422
143,1,drink water,1735,4,411,350,14.841849148418492,24,373
144,1,drink water,1735,5,361,334,7.479224376731302,26,359
145,1,drink water,1751,1,5984,5330,10.929144385026738,538,5867
146,1,drink water,1751,2,6499,5260,19.064471457147253,946,6205
147,1,drink water,1751,3,6056,5254,13.243064729194188,620,5873
148,1,drink water,1751,4,5998,5258,12.337445815271757,712,5969
149,1,drink water,1751,5,6790,6186,8.895434462444772,188,6373
150,1,drink water,1777,1,448,414,7.589285714285714,20,433
151,1,drink water,1777,2,463,390,15.766738660907128,62,451
152,1,drink water,1777,3,454,406,10.572687224669604,22,427
153,1,drink water,1777,4,520,370,28.846153846153847,94,463
154,1,drink water,1777,5,480,386,19.583333333333332,64,449
155,1,drink water,1803,1,296,296,0.0,0,295
156,1,drink water,1803,2,269,222,17.472118959107807,30,251
157,1,drink water,1803,3,243,243,0.0,0,242
158,1,drink water,1803,4,276,138,50.0,76,213
159,1,drink water,1803,5,280,156,44.285714285714285,124,279
160,1,drink water,1825,1,675,426,36.888888888888886,102,527
161,1,drink water,1825,2,764,358,53.1413612565445,108,465
162,1,drink water,1825,3,572,328,42.65734265734266,116,443
